site,type
airswap.io,defi
app.1inch.io,defi
app.aave.com/markets,defi
app.alchemix.fi,defi
app.balancer.fi,defi
app.bifi.finance,defi
app.compound.finance,defi
app.coverprotocol.com,defi
app.cream.finance,defi
app.definer.org,defi
app.impermax.finance,defi
app.jelly.market,defi
app.kava.io,defi
app.mai.finance,defi
app.maple.finance,defi
app.rampdefi.com,defi
app.rari.capital,defi
app.reflexer.finance,defi
app.rulerprotocol.com,defi
app.sushi.com,defi
app.truefi.io,defi
app.uniswap.org,defi
app.warp.finance,defi
app.warp.finance,defi
app.yield.is,defi
app.zerion.io,defi
balancer.exchange,defi
beta.curve.fi,defi
coindesk.com,news
coingecko.com,chart
coinmarketcap.com,chart
cointelegraph.com,news
debank.com,defi
decrypt.co,news
flash.wing.finance,defi
for.tube/market/index,defi
foudation.app,nft
gasnow.org,chart
inverse.finance/banking,defi
inverse.finance/vaults,defi
inverse.finance/vote,defi
liquity.app,defi
moonswap.fi,defi
notional.finance,defi
oasis.app/dashboard,defi
opensea.io,nft
opium.finance,defi
pancakeswap.finance,defi
piadao.org,defi
rarible.com,nft
tinlake.centrifuge.io,defi
wasabix.finance/#/app,defi
www.akropolis.io/app/home,defi
zapper.fi,defi
app.swapswap.org/#/swap,defi 
