defi_url,request_method,request_url,request_headers,request_post_data,request_resource_type
about:blank,GET,https://app.aave.com/markets,"{""upgrade-insecure-requests"":""1"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""FE4C4950BC0A9BC2C7A26FAD71751668"",""accept"":""text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8""}",,document
https://app.aave.com/markets,GET,https://app.aave.com/static/css/3.27733af1.chunk.css,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""FE4C4950BC0A9BC2C7A26FAD71751668"",""accept"":""text/css,*/*;q=0.1"",""referer"":""https://app.aave.com/markets""}",,stylesheet
https://app.aave.com/markets,GET,https://app.aave.com/static/js/main.6c7e753e.chunk.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""FE4C4950BC0A9BC2C7A26FAD71751668"",""accept"":""*/*"",""referer"":""https://app.aave.com/markets""}",,script
https://app.aave.com/markets,GET,https://app.aave.com/static/js/3.98bd5192.chunk.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""FE4C4950BC0A9BC2C7A26FAD71751668"",""accept"":""*/*"",""referer"":""https://app.aave.com/markets""}",,script
https://app.aave.com/markets,GET,https://app.aave.com/static/media/background.94d7765b.svg,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""FE4C4950BC0A9BC2C7A26FAD71751668"",""accept"":""image/webp,image/apng,image/*,*/*;q=0.8"",""referer"":""https://app.aave.com/markets""}",,image
https://app.aave.com/markets,OPTIONS,https://eth-mainnet.alchemyapi.io/v2/zfLOgAH-VnBwHstv4iXjSa6l_7QgmrPn,"{""access-control-request-method"":""POST"",""origin"":""https://app.aave.com"",""x-devtools-emulate-network-conditions-client-id"":""FE4C4950BC0A9BC2C7A26FAD71751668"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""access-control-request-headers"":""content-type"",""accept"":""*/*"",""referer"":""https://app.aave.com/""}",,xhr
https://app.aave.com/markets,OPTIONS,https://eth-mainnet.alchemyapi.io/v2/zfLOgAH-VnBwHstv4iXjSa6l_7QgmrPn,"{""access-control-request-method"":""POST"",""origin"":""https://app.aave.com"",""x-devtools-emulate-network-conditions-client-id"":""FE4C4950BC0A9BC2C7A26FAD71751668"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""access-control-request-headers"":""content-type"",""accept"":""*/*"",""referer"":""https://app.aave.com/""}",,xhr
https://app.aave.com/markets,POST,https://eth-mainnet.alchemyapi.io/v2/zfLOgAH-VnBwHstv4iXjSa6l_7QgmrPn,"{""origin"":""https://app.aave.com"",""x-devtools-emulate-network-conditions-client-id"":""FE4C4950BC0A9BC2C7A26FAD71751668"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""content-type"":""application/json"",""accept"":""*/*"",""referer"":""https://app.aave.com/""}","{""method"":""eth_chainId"",""params"":[],""id"":42,""jsonrpc"":""2.0""}",xhr
https://app.aave.com/markets,POST,https://eth-mainnet.alchemyapi.io/v2/zfLOgAH-VnBwHstv4iXjSa6l_7QgmrPn,"{""origin"":""https://app.aave.com"",""x-devtools-emulate-network-conditions-client-id"":""FE4C4950BC0A9BC2C7A26FAD71751668"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""content-type"":""application/json"",""accept"":""*/*"",""referer"":""https://app.aave.com/""}","{""method"":""eth_chainId"",""params"":[],""id"":42,""jsonrpc"":""2.0""}",xhr
https://app.aave.com/markets,OPTIONS,https://cache-api-mainnet.aave.com/graphql,"{""access-control-request-method"":""POST"",""origin"":""https://app.aave.com"",""x-devtools-emulate-network-conditions-client-id"":""FE4C4950BC0A9BC2C7A26FAD71751668"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""access-control-request-headers"":""content-type"",""accept"":""*/*"",""referer"":""https://app.aave.com/""}",,xhr
