defi_url,request_method,request_url,request_headers,request_post_data,request_resource_type
about:blank,GET,https://app.maple.finance/,"{""upgrade-insecure-requests"":""1"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""D421067F31BF38419E908FF585A0C8CA"",""accept"":""text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8""}",,document
https://app.maple.finance/,GET,https://www.googletagmanager.com/gtag/js?id=G-3FBNQG232W,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""D421067F31BF38419E908FF585A0C8CA"",""accept"":""*/*"",""referer"":""https://app.maple.finance/""}",,script
https://app.maple.finance/,GET,https://app.maple.finance/static/js/2.874a96bf.chunk.0bfafd16.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""D421067F31BF38419E908FF585A0C8CA"",""accept"":""*/*"",""referer"":""https://app.maple.finance/""}",,script
https://app.maple.finance/,GET,https://app.maple.finance/static/js/main.d400bf46.chunk.3d71e1f4.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""D421067F31BF38419E908FF585A0C8CA"",""accept"":""*/*"",""referer"":""https://app.maple.finance/""}",,script
https://app.maple.finance/,GET,https://app.maple.finance/static/css/main.d193313d.chunk.07fce9a0.css,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""D421067F31BF38419E908FF585A0C8CA"",""accept"":""text/css,*/*;q=0.1"",""referer"":""https://app.maple.finance/""}",,stylesheet
https://app.maple.finance/,GET,https://fonts.googleapis.com/css2?family=Inter:wght@100;200;300;400;500;600;700&display=swap,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""D421067F31BF38419E908FF585A0C8CA"",""accept"":""text/css,*/*;q=0.1"",""referer"":""https://app.maple.finance/""}",,stylesheet
https://app.maple.finance/,GET,https://app.maple.finance/static/css/2.0d72302e.chunk.c7433f39.css,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""D421067F31BF38419E908FF585A0C8CA"",""accept"":""text/css,*/*;q=0.1"",""referer"":""https://app.maple.finance/""}",,stylesheet
https://app.maple.finance/,POST,https://www.google-analytics.com/g/collect?v=2&tid=G-3FBNQG232W&gtm=2oe7q0&_p=1513496957&sr=1440x900&ul=en-us&cid=1259699930.1627483368&_s=1&dl=https%3A%2F%2Fapp.maple.finance%2F&dt=Maple%20Finance&sid=1627483368&sct=1&seg=0&en=page_view&_fv=1&_nsi=1&_ss=1,"{""origin"":""https://app.maple.finance"",""x-devtools-emulate-network-conditions-client-id"":""D421067F31BF38419E908FF585A0C8CA"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""content-type"":""text/plain;charset=UTF-8"",""accept"":""*/*"",""referer"":""https://app.maple.finance/""}",,other
https://app.maple.finance/,GET,https://fonts.gstatic.com/s/inter/v3/UcC73FwrK3iLTeHuS_fvQtMwCp50KnMa1ZL7W0Q5nw.woff2,"{""origin"":""https://app.maple.finance"",""x-devtools-emulate-network-conditions-client-id"":""D421067F31BF38419E908FF585A0C8CA"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""accept"":""*/*"",""referer"":""https://fonts.googleapis.com/css2?family=Inter:wght@100;200;300;400;500;600;700&display=swap""}",,font
https://app.maple.finance/,GET,https://maple-fonts.s3.ap-southeast-1.amazonaws.com/GT-Walsheim-Bold.ttf,"{""origin"":""https://app.maple.finance"",""x-devtools-emulate-network-conditions-client-id"":""D421067F31BF38419E908FF585A0C8CA"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""accept"":""*/*"",""referer"":""https://app.maple.finance/static/css/main.d193313d.chunk.07fce9a0.css""}",,font
https://app.maple.finance/,OPTIONS,https://api.maple.finance/public,"{""access-control-request-method"":""POST"",""origin"":""https://app.maple.finance"",""x-devtools-emulate-network-conditions-client-id"":""D421067F31BF38419E908FF585A0C8CA"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""access-control-request-headers"":""content-type"",""accept"":""*/*""}",,xhr
https://app.maple.finance/,OPTIONS,https://api.maple.finance/public,"{""access-control-request-method"":""POST"",""origin"":""https://app.maple.finance"",""x-devtools-emulate-network-conditions-client-id"":""D421067F31BF38419E908FF585A0C8CA"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""access-control-request-headers"":""content-type"",""accept"":""*/*""}",,xhr
https://app.maple.finance/#/liquidity,POST,https://api.maple.finance/public,"{""accept"":""application/json, text/plain, */*"",""origin"":""https://app.maple.finance"",""x-devtools-emulate-network-conditions-client-id"":""D421067F31BF38419E908FF585A0C8CA"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""content-type"":""application/json;charset=UTF-8"",""referer"":""https://app.maple.finance/""}","{""query"":""\n{\n  mapleGlobals {\n    collateralAssets \n{\n  address\n  symbol\n  decimals\n  price\n}\n\n    liquidityAssets \n{\n  address\n  symbol\n  decimals\n  price\n}\n\n    stakeAssets \n{\n  address\n  symbol\n  decimals\n  price\n}\n\n    mpl {\n      address\n      symbol\n      decimals\n      price\n    }\n    totalPools\n    totalFinalizedPools\n    totalLoans\n    totalActiveLoans\n    totalLiquidity\n    totalValueLocked\n    defaultGracePeriod\n    swapOutRequired\n    fundingPeriod\n    investorFee\n    treasuryFee\n    maxSwapSlippage\n    minLoanEquity\n    lpCooldownPeriod\n    stakerUnstakeWindow\n    lpWithdrawWindow\n    stakerCooldownPeriod\n  }\n}\n""}",xhr
