defi_url,request_method,request_url,request_headers,request_post_data,request_resource_type
about:blank,GET,https://balancer.exchange/,"{""upgrade-insecure-requests"":""1"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""60D1EECB67334FEB00A475E58F4408D4"",""accept"":""text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8""}",,document
about:blank,GET,https://app.balancer.fi/,"{""upgrade-insecure-requests"":""1"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""60D1EECB67334FEB00A475E58F4408D4"",""accept"":""text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8""}",,document
https://app.balancer.fi/,GET,https://app.balancer.fi/css/app.0241e2b6.css,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""60D1EECB67334FEB00A475E58F4408D4"",""accept"":""text/css,*/*;q=0.1"",""referer"":""https://app.balancer.fi/""}",,stylesheet
https://app.balancer.fi/,GET,https://app.balancer.fi/js/chunk-vendors.c197161f.js,"{""origin"":""https://app.balancer.fi"",""x-devtools-emulate-network-conditions-client-id"":""60D1EECB67334FEB00A475E58F4408D4"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""accept"":""*/*"",""referer"":""https://app.balancer.fi/""}",,script
https://app.balancer.fi/,GET,https://app.balancer.fi/js/app.473940d6.js,"{""origin"":""https://app.balancer.fi"",""x-devtools-emulate-network-conditions-client-id"":""60D1EECB67334FEB00A475E58F4408D4"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""accept"":""*/*"",""referer"":""https://app.balancer.fi/""}",,script
https://app.balancer.fi/,GET,https://app.balancer.fi/css/chunk-vendors.7413e06d.css,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""60D1EECB67334FEB00A475E58F4408D4"",""accept"":""text/css,*/*;q=0.1"",""referer"":""https://app.balancer.fi/""}",,stylesheet
https://app.balancer.fi/,GET,https://chipmunk.balancer.fi/script.js,"{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""x-devtools-emulate-network-conditions-client-id"":""60D1EECB67334FEB00A475E58F4408D4"",""accept"":""*/*"",""referer"":""https://app.balancer.fi/""}",,script
https://app.balancer.fi/,POST,https://o574636.ingest.sentry.io/api/5725878/envelope/?sentry_key=d292b6ec7b6e4aa2801d972e06cb232c&sentry_version=7,"{""origin"":""https://app.balancer.fi"",""x-devtools-emulate-network-conditions-client-id"":""60D1EECB67334FEB00A475E58F4408D4"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""content-type"":""text/plain;charset=UTF-8"",""accept"":""*/*"",""referer"":""https://app.balancer.fi/""}","{""sent_at"":""2021-07-28T14:46:32.134Z"",""sdk"":{""name"":""sentry.javascript.browser"",""version"":""6.3.2""}}
{""type"":""session""}
{""sid"":""7bf851c0e57f4b7e915838bc4e0816b3"",""init"":true,""started"":""2021-07-28T14:46:32.134Z"",""timestamp"":""2021-07-28T14:46:32.134Z"",""status"":""ok"",""errors"":0,""duration"":0,""attrs"":{""release"":""frontend-v2@1.11.0"",""environment"":""production-mainnet""}}",xhr
https://app.balancer.fi/,GET,https://storageapi.fleek.co/balancer-team-bucket/assets/listed.tokenlist.json,"{""origin"":""https://app.balancer.fi"",""x-devtools-emulate-network-conditions-client-id"":""60D1EECB67334FEB00A475E58F4408D4"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""accept"":""*/*"",""referer"":""https://app.balancer.fi/""}",,xhr
https://app.balancer.fi/,GET,https://ipfs.fleek.co/ipns/tokens.uniswap.org,"{""origin"":""https://app.balancer.fi"",""x-devtools-emulate-network-conditions-client-id"":""60D1EECB67334FEB00A475E58F4408D4"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""accept"":""*/*"",""referer"":""https://app.balancer.fi/""}",,xhr
https://app.balancer.fi/,GET,https://tokens.coingecko.com/uniswap/all.json,"{""origin"":""https://app.balancer.fi"",""x-devtools-emulate-network-conditions-client-id"":""60D1EECB67334FEB00A475E58F4408D4"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""accept"":""*/*"",""referer"":""https://app.balancer.fi/""}",,xhr
https://app.balancer.fi/,GET,https://umaproject.org/uma.tokenlist.json,"{""origin"":""https://app.balancer.fi"",""x-devtools-emulate-network-conditions-client-id"":""60D1EECB67334FEB00A475E58F4408D4"",""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/69.0.3452.0 Safari/537.36"",""accept"":""*/*"",""referer"":""https://app.balancer.fi/""}",,xhr
